"","age_group","severity_label","severity_coeff","immunity_type","waning_group"
"1","0-17 years","severity_0",1,"immune-naive",0
"2","18-49 years","severity_0",1,"immune-naive",0
"3","50-64 years","severity_0",1,"immune-naive",0
"4","65-74 years","severity_0",1,"immune-naive",0
"5","75+ years","severity_0",1,"immune-naive",0
"6","0-17 years","severity_V_1",0.439324579043438,"vaccine-only",1
"7","18-49 years","severity_V_1",0.439324579043438,"vaccine-only",1
"8","50-64 years","severity_V_1",0.451886251949664,"vaccine-only",1
"9","65-74 years","severity_V_1",0.520945180069994,"vaccine-only",1
"10","75+ years","severity_V_1",0.520945180069994,"vaccine-only",1
"11","0-17 years","severity_V_2",0.401780291215099,"vaccine-only",2
"12","18-49 years","severity_V_2",0.401780291215099,"vaccine-only",2
"13","50-64 years","severity_V_2",0.413268454726007,"vaccine-only",2
"14","65-74 years","severity_V_2",0.476425668264123,"vaccine-only",2
"15","75+ years","severity_V_2",0.476425668264123,"vaccine-only",2
"16","0-17 years","severity_V_3",0.38385394165751,"vaccine-only",3
"17","18-49 years","severity_V_3",0.38385394165751,"vaccine-only",3
"18","50-64 years","severity_V_3",0.394829534394355,"vaccine-only",3
"19","65-74 years","severity_V_3",0.455168843939361,"vaccine-only",3
"20","75+ years","severity_V_3",0.455168843939361,"vaccine-only",3
"21","0-17 years","severity_V_4",0.372569443651548,"vaccine-only",4
"22","18-49 years","severity_V_4",0.372569443651548,"vaccine-only",4
"23","50-64 years","severity_V_4",0.383222377061727,"vaccine-only",4
"24","65-74 years","severity_V_4",0.441787837899328,"vaccine-only",4
"25","75+ years","severity_V_4",0.441787837899328,"vaccine-only",4
"26","0-17 years","severity_V_5",0.362020309243945,"vaccine-only",5
"27","18-49 years","severity_V_5",0.362020309243945,"vaccine-only",5
"28","50-64 years","severity_V_5",0.371661981409286,"vaccine-only",5
"29","65-74 years","severity_V_5",0.428460739832374,"vaccine-only",5
"30","75+ years","severity_V_5",0.428460739832374,"vaccine-only",5
"31","0-17 years","severity_V_6",0.382714219114209,"vaccine-only",6
"32","18-49 years","severity_V_6",0.382714219114209,"vaccine-only",6
"33","50-64 years","severity_V_6",0.372898737321951,"vaccine-only",6
"34","65-74 years","severity_V_6",0.415878920440045,"vaccine-only",6
"35","75+ years","severity_V_6",0.415878920440045,"vaccine-only",6
"36","0-17 years","severity_V_7",0.432095881708526,"vaccine-only",7
"37","18-49 years","severity_V_7",0.432095881708526,"vaccine-only",7
"38","50-64 years","severity_V_7",0.419081458595224,"vaccine-only",7
"39","65-74 years","severity_V_7",0.406621389059565,"vaccine-only",7
"40","75+ years","severity_V_7",0.406621389059565,"vaccine-only",7
"41","0-17 years","severity_V_8",0.484511715182664,"vaccine-only",8
"42","18-49 years","severity_V_8",0.484511715182664,"vaccine-only",8
"43","50-64 years","severity_V_8",0.469918564144505,"vaccine-only",8
"44","65-74 years","severity_V_8",0.438780099247373,"vaccine-only",8
"45","75+ years","severity_V_8",0.438780099247373,"vaccine-only",8
"46","0-17 years","severity_1",0.161177038795112,"hybrid/infection-only",1
