"","age_group","immunity_type","waning_group","proportion","num_people"
"1","0-17 years","hybrid/infection-only",1,0.027307,242886
"2","0-17 years","hybrid/infection-only",2,0.011823,105161
"3","0-17 years","hybrid/infection-only",3,0.071856,639133
"4","0-17 years","hybrid/infection-only",4,0.064295,571881
"5","0-17 years","hybrid/infection-only",5,0.045139,401495
"6","0-17 years","hybrid/infection-only",6,0.078138,695009
"7","0-17 years","hybrid/infection-only",7,0.121552,1081161
"8","0-17 years","hybrid/infection-only",8,0.009237,82160
"9","0-17 years","immune-naive",0,0.333095,2962760
"10","0-17 years","recovered",NA,0.087636,779491
"11","0-17 years","vaccine-only",1,0.030881,274675
"12","0-17 years","vaccine-only",2,0.013288,118192
"13","0-17 years","vaccine-only",3,0.019916,177146
"14","0-17 years","vaccine-only",4,0.032231,286683
"15","0-17 years","vaccine-only",5,0.051932,461916
"16","0-17 years","vaccine-only",6,0.001673,14881
"17","0-17 years","vaccine-only",7,1e-06,9
"18","18-49 years","hybrid/infection-only",1,0.059484,1042666
"19","18-49 years","hybrid/infection-only",2,0.033032,579002
"20","18-49 years","hybrid/infection-only",3,0.03109,544961
"21","18-49 years","hybrid/infection-only",4,0.032245,565207
"22","18-49 years","hybrid/infection-only",5,0.121867,2136146
"23","18-49 years","hybrid/infection-only",6,0.051879,909361
"24","18-49 years","hybrid/infection-only",7,0.049795,872832
"25","18-49 years","hybrid/infection-only",8,0.005325,93339
"26","18-49 years","immune-naive",0,0.147312,2582159
"27","18-49 years","recovered",NA,0.059522,1043332
"28","18-49 years","vaccine-only",1,0.086037,1508100
"29","18-49 years","vaccine-only",2,0.047397,830799
"30","18-49 years","vaccine-only",3,0.013369,234339
"31","18-49 years","vaccine-only",4,0.009803,171832
"32","18-49 years","vaccine-only",5,0.204454,3583773
"33","18-49 years","vaccine-only",6,0.047382,830536
"34","18-49 years","vaccine-only",7,7e-06,123
"35","50-64 years","hybrid/infection-only",1,0.083138,602830
"36","50-64 years","hybrid/infection-only",2,0.063286,458884
"37","50-64 years","hybrid/infection-only",3,0.02312,167642
"38","50-64 years","hybrid/infection-only",4,0.018612,134955
"39","50-64 years","hybrid/infection-only",5,0.10572,766572
"40","50-64 years","hybrid/infection-only",6,0.043417,314815
"41","50-64 years","hybrid/infection-only",7,0.02869,208030
"42","50-64 years","hybrid/infection-only",8,0.003062,22202
"43","50-64 years","immune-naive",0,0.091657,664601
"44","50-64 years","recovered",NA,0.049244,357066
"45","50-64 years","vaccine-only",1,0.130367,945286
"46","50-64 years","vaccine-only",2,0.10023,726764
"47","50-64 years","vaccine-only",3,0.012222,88621
"48","50-64 years","vaccine-only",4,0.006296,45652
"49","50-64 years","vaccine-only",5,0.189563,1374514
"50","50-64 years","vaccine-only",6,0.051364,372438
"51","50-64 years","vaccine-only",7,1.2e-05,87
"52","65-74 years","hybrid/infection-only",1,0.047909,162252
"53","65-74 years","hybrid/infection-only",2,0.094672,320623
"54","65-74 years","hybrid/infection-only",3,0.023984,81226
"55","65-74 years","hybrid/infection-only",4,0.007798,26409
"56","65-74 years","hybrid/infection-only",5,0.026176,88649
"57","65-74 years","hybrid/infection-only",6,0.049959,169195
"58","65-74 years","hybrid/infection-only",7,0.01103,37355
"59","65-74 years","hybrid/infection-only",8,0.00141,4775
"60","65-74 years","immune-naive",0,0.061847,209455
"61","65-74 years","recovered",NA,0.033731,114236
"62","65-74 years","vaccine-only",1,0.129188,437517
"63","65-74 years","vaccine-only",2,0.254786,862876
"64","65-74 years","vaccine-only",3,0.042973,145535
"65","65-74 years","vaccine-only",4,0.003757,12724
"66","65-74 years","vaccine-only",5,0.074103,250962
"67","65-74 years","vaccine-only",6,0.13666,462822
"68","65-74 years","vaccine-only",7,1.7e-05,58
"69","75+ years","hybrid/infection-only",1,0.043525,106699
"70","75+ years","hybrid/infection-only",2,0.097386,238736
"71","75+ years","hybrid/infection-only",3,0.023684,58060
"72","75+ years","hybrid/infection-only",4,0.007632,18709
"73","75+ years","hybrid/infection-only",5,0.013962,34227
"74","75+ years","hybrid/infection-only",6,0.054562,133756
"75","75+ years","hybrid/infection-only",7,0.020015,49066
"76","75+ years","hybrid/infection-only",8,0.002416,5923
"77","75+ years","immune-naive",0,0.112034,274645
"78","75+ years","recovered",NA,0.033487,82092
"79","75+ years","vaccine-only",1,0.116234,284941
"80","75+ years","vaccine-only",2,0.261766,641705
"81","75+ years","vaccine-only",3,0.041892,102696
"82","75+ years","vaccine-only",4,0.002399,5881
"83","75+ years","vaccine-only",5,0.035783,87720
"84","75+ years","vaccine-only",6,0.133218,326577
"85","75+ years","vaccine-only",7,5e-06,12
