"","age_group","immunity_type","waning_group","proportion","num_people"
"1","0-17 years","hybrid/infection-only",1,0.004743,42187
"2","0-17 years","hybrid/infection-only",2,0.020112,178889
"3","0-17 years","hybrid/infection-only",3,0.00705,62707
"4","0-17 years","hybrid/infection-only",4,0.019025,169221
"5","0-17 years","hybrid/infection-only",5,0.049356,439004
"6","0-17 years","hybrid/infection-only",6,0.043579,387620
"7","0-17 years","hybrid/infection-only",7,0.019106,169941
"8","0-17 years","hybrid/infection-only",8,0.018266,162470
"9","0-17 years","hybrid/infection-only",9,0.010868,96667
"10","0-17 years","hybrid/infection-only",10,0.00848,75427
"11","0-17 years","hybrid/infection-only",11,0.007486,66585
"12","0-17 years","hybrid/infection-only",12,0.01993,177270
"13","0-17 years","hybrid/infection-only",13,0.056034,498402
"14","0-17 years","hybrid/infection-only",14,0.054629,485905
"15","0-17 years","hybrid/infection-only",15,0.010738,95511
"16","0-17 years","hybrid/infection-only",16,0.005054,44954
"17","0-17 years","hybrid/infection-only",17,0.006814,60608
"18","0-17 years","hybrid/infection-only",18,0.010832,96347
"19","0-17 years","hybrid/infection-only",19,0.009913,88173
"20","0-17 years","hybrid/infection-only",20,0.004198,37340
"21","0-17 years","hybrid/infection-only",21,0.002057,18296
"22","0-17 years","hybrid/infection-only",22,6.7e-05,596
"23","0-17 years","immune-naive",NA,0.367795,3271404
"24","0-17 years","recovered",1,0.024135,214672
"25","0-17 years","recovered",2,0.021996,195647
"26","0-17 years","recovered",3,0.023153,205938
"27","0-17 years","recovered",4,0.009558,85015
"28","0-17 years","vaccine-only",1,0.006601,58714
"29","0-17 years","vaccine-only",2,0.027325,243046
"30","0-17 years","vaccine-only",3,0.009791,87087
"31","0-17 years","vaccine-only",4,0.011629,103436
"32","0-17 years","vaccine-only",5,0.015255,135688
"33","0-17 years","vaccine-only",6,0.019291,171587
"34","0-17 years","vaccine-only",7,0.02265,201464
"35","0-17 years","vaccine-only",8,0.029964,266519
"36","0-17 years","vaccine-only",9,0.014037,124854
"37","0-17 years","vaccine-only",10,0.007424,66034
"38","0-17 years","vaccine-only",11,0.00098,8717
"39","0-17 years","vaccine-only",12,7.2e-05,640
"40","0-17 years","vaccine-only",13,6e-06,53
"41","0-17 years","vaccine-only",14,1e-06,9
"42","18-49 years","hybrid/infection-only",1,0.016991,297827
"43","18-49 years","hybrid/infection-only",2,0.035861,628590
"44","18-49 years","hybrid/infection-only",3,0.024758,433971
"45","18-49 years","hybrid/infection-only",4,0.012479,218738
"46","18-49 years","hybrid/infection-only",5,0.019628,344050
"47","18-49 years","hybrid/infection-only",6,0.021696,380298
"48","18-49 years","hybrid/infection-only",7,0.009541,167239
"49","18-49 years","hybrid/infection-only",8,0.013931,244190
"50","18-49 years","hybrid/infection-only",9,0.054282,951482
"51","18-49 years","hybrid/infection-only",10,0.047287,828870
"52","18-49 years","hybrid/infection-only",11,0.011116,194847
"53","18-49 years","hybrid/infection-only",12,0.010041,176004
"54","18-49 years","hybrid/infection-only",13,0.020889,366153
"55","18-49 years","hybrid/infection-only",14,0.020718,363156
"56","18-49 years","hybrid/infection-only",15,0.004274,74917
"57","18-49 years","hybrid/infection-only",16,0.001946,34110
"58","18-49 years","hybrid/infection-only",17,0.002954,51779
"59","18-49 years","hybrid/infection-only",18,0.004494,78773
"60","18-49 years","hybrid/infection-only",19,0.005569,97616
"61","18-49 years","hybrid/infection-only",20,0.002253,39492
"62","18-49 years","hybrid/infection-only",21,0.001286,22542
"63","18-49 years","hybrid/infection-only",22,8.8e-05,1543
"64","18-49 years","immune-naive",NA,0.160462,2812659
"65","18-49 years","recovered",1,0.026026,456197
"66","18-49 years","recovered",2,0.01174,205785
"67","18-49 years","recovered",3,0.010778,188922
"68","18-49 years","recovered",4,0.003633,63681
"69","18-49 years","vaccine-only",1,0.029827,522823
"70","18-49 years","vaccine-only",2,0.06395,1120948
"71","18-49 years","vaccine-only",3,0.043347,759808
"72","18-49 years","vaccine-only",4,0.014877,260772
"73","18-49 years","vaccine-only",5,0.008031,140771
"74","18-49 years","vaccine-only",6,0.005937,104067
"75","18-49 years","vaccine-only",7,0.008531,149536
"76","18-49 years","vaccine-only",8,0.026571,465750
"77","18-49 years","vaccine-only",9,0.11335,1986856
"78","18-49 years","vaccine-only",10,0.100177,1755953
"79","18-49 years","vaccine-only",11,0.019078,334409
"80","18-49 years","vaccine-only",12,0.008228,144225
"81","18-49 years","vaccine-only",13,0.003369,59054
"82","18-49 years","vaccine-only",14,6e-06,105
"83","50-64 years","hybrid/infection-only",1,0.019164,138957
"84","50-64 years","hybrid/infection-only",2,0.054031,391777
"85","50-64 years","hybrid/infection-only",3,0.048196,349467
"86","50-64 years","hybrid/infection-only",4,0.01483,107532
"87","50-64 years","hybrid/infection-only",5,0.012929,93748
"88","50-64 years","hybrid/infection-only",6,0.012827,93008
"89","50-64 years","hybrid/infection-only",7,0.005274,38242
"90","50-64 years","hybrid/infection-only",8,0.005617,40729
"91","50-64 years","hybrid/infection-only",9,0.035842,259889
"92","50-64 years","hybrid/infection-only",10,0.05855,424544
"93","50-64 years","hybrid/infection-only",11,0.01107,80268
"94","50-64 years","hybrid/infection-only",12,0.008307,60234
"95","50-64 years","hybrid/infection-only",13,0.01317,95495
"96","50-64 years","hybrid/infection-only",14,0.012363,89644
"97","50-64 years","hybrid/infection-only",15,0.00234,16967
"98","50-64 years","hybrid/infection-only",16,0.001118,8107
"99","50-64 years","hybrid/infection-only",17,0.001495,10840
"100","50-64 years","hybrid/infection-only",18,0.002434,17649
"101","50-64 years","hybrid/infection-only",19,0.002818,20433
"102","50-64 years","hybrid/infection-only",20,0.001189,8621
"103","50-64 years","hybrid/infection-only",21,0.001004,7280
"104","50-64 years","hybrid/infection-only",22,8.6e-05,624
"105","50-64 years","immune-naive",NA,0.099453,721130
"106","50-64 years","recovered",1,0.017508,126950
"107","50-64 years","recovered",2,0.012379,89760
"108","50-64 years","recovered",3,0.010618,76991
"109","50-64 years","recovered",4,0.003059,22181
"110","50-64 years","vaccine-only",1,0.036945,267887
"111","50-64 years","vaccine-only",2,0.104537,757994
"112","50-64 years","vaccine-only",3,0.09437,684273
"113","50-64 years","vaccine-only",4,0.023242,168527
"114","50-64 years","vaccine-only",5,0.004593,33304
"115","50-64 years","vaccine-only",6,0.003886,28177
"116","50-64 years","vaccine-only",7,0.005425,39336
"117","50-64 years","vaccine-only",8,0.010587,76766
"118","50-64 years","vaccine-only",9,0.079751,578271
"119","50-64 years","vaccine-only",10,0.133988,971542
"120","50-64 years","vaccine-only",11,0.022001,159528
"121","50-64 years","vaccine-only",12,0.009643,69921
"122","50-64 years","vaccine-only",13,0.003349,24283
"123","50-64 years","vaccine-only",14,1.2e-05,87
"124","65-74 years","hybrid/infection-only",1,0.008672,29369
"125","65-74 years","hybrid/infection-only",2,0.031258,105861
"126","65-74 years","hybrid/infection-only",3,0.064149,217251
"127","65-74 years","hybrid/infection-only",4,0.028697,97187
"128","65-74 years","hybrid/infection-only",5,0.00566,19169
"129","65-74 years","hybrid/infection-only",6,0.005394,18268
"130","65-74 years","hybrid/infection-only",7,0.001815,6147
"131","65-74 years","hybrid/infection-only",8,0.003549,12019
"132","65-74 years","hybrid/infection-only",9,0.007156,24235
"133","65-74 years","hybrid/infection-only",10,0.016452,55717
"134","65-74 years","hybrid/infection-only",11,0.021625,73237
"135","65-74 years","hybrid/infection-only",12,0.010297,34873
"136","65-74 years","hybrid/infection-only",13,0.005067,17160
"137","65-74 years","hybrid/infection-only",14,0.004468,15132
"138","65-74 years","hybrid/infection-only",15,0.000838,2838
"139","65-74 years","hybrid/infection-only",16,0.00039,1321
"140","65-74 years","hybrid/infection-only",17,0.000617,2090
"141","65-74 years","hybrid/infection-only",18,0.000919,3112
"142","65-74 years","hybrid/infection-only",19,0.000923,3126
"143","65-74 years","hybrid/infection-only",20,0.000426,1443
"144","65-74 years","hybrid/infection-only",21,0.000465,1575
"145","65-74 years","hybrid/infection-only",22,4.7e-05,159
"146","65-74 years","immune-naive",NA,0.066219,224262
"147","65-74 years","recovered",1,0.008547,28946
"148","65-74 years","recovered",2,0.008401,28451
"149","65-74 years","recovered",3,0.009101,30822
"150","65-74 years","recovered",4,0.001922,6509
"151","65-74 years","vaccine-only",1,0.030201,102281
"152","65-74 years","vaccine-only",2,0.108038,365889
"153","65-74 years","vaccine-only",3,0.222864,754767
"154","65-74 years","vaccine-only",4,0.093399,316312
"155","65-74 years","vaccine-only",5,0.002724,9225
"156","65-74 years","vaccine-only",6,0.00227,7688
"157","65-74 years","vaccine-only",7,0.003035,10279
"158","65-74 years","vaccine-only",8,0.012017,40698
"159","65-74 years","vaccine-only",9,0.025568,86590
"160","65-74 years","vaccine-only",10,0.064478,218366
"161","65-74 years","vaccine-only",11,0.084043,284626
"162","65-74 years","vaccine-only",12,0.036659,124152
"163","65-74 years","vaccine-only",13,0.001613,5463
"164","65-74 years","vaccine-only",14,1.7e-05,58
"165","75+ years","hybrid/infection-only",1,0.00765,18754
"166","75+ years","hybrid/infection-only",2,0.02859,70087
"167","75+ years","hybrid/infection-only",3,0.065242,159937
"168","75+ years","hybrid/infection-only",4,0.029491,72296
"169","75+ years","hybrid/infection-only",5,0.005785,14182
"170","75+ years","hybrid/infection-only",6,0.005152,12630
"171","75+ years","hybrid/infection-only",7,0.001749,4288
"172","75+ years","hybrid/infection-only",8,0.001395,3420
"173","75+ years","hybrid/infection-only",9,0.003348,8207
"174","75+ years","hybrid/infection-only",10,0.00981,24049
"175","75+ years","hybrid/infection-only",11,0.021158,51868
"176","75+ years","hybrid/infection-only",12,0.014597,35784
"177","75+ years","hybrid/infection-only",13,0.008605,21095
"178","75+ years","hybrid/infection-only",14,0.008024,19670
"179","75+ years","hybrid/infection-only",15,0.001532,3756
